comment,user_name,date
Yeah shes the one that beat up Adam Sandler and got a few other officers beat up report and secure yall! I asked everyday why my husband came home and why everyone including me became pedophiles elders became rude and look at us now. Honey did our will come full speed? God bless everyone thats a blessing and always continue to respect your elders!,@AyarisMcCoy,2025-03-21T08:49:36Z
I'm 59 YEARS old Pharrell this beat is amazing I kid you not you my dear have out done yourself 💋❤️💃💃🫣,@austriliamorgan5821,2025-03-20T21:54:54Z
The beat is crazy 🤪,@SipheleleMbewana-um5tg,2025-03-20T21:47:57Z
This fucking beat...  Jesus Christ 🥵🥵🥵,@somewhatofaprofessional7940,2025-03-20T02:22:00Z
Who here 2025 MY NAME IS MICHAEL STONE 💯,@michaelstone7480,2025-03-20T00:59:15Z
Gives me vibes of Low Life from The Weeknd and Future from back then!,@Yazidn,2025-03-19T22:13:11Z
Beat so fire even Carti can't miss. That synth coming in at the end has me in another dimension.,@AvaIor,2025-03-19T13:45:38Z
This a VIBEEEEE ❤️‍🔥🔥🔥🔥,@DayOne-Gcvsh,2025-03-18T22:18:56Z
"Nice, the beat is amazing, greetings from Poland🖤",@Oster69,2025-03-18T21:21:33Z
"This is the unique song that I can hear anytime and I never get bored of it. It's incredible that I realized it today, after month's hearing it. True masterpiece. There is not another song on earth that I vibe with like I do with this song.",@sn8,2025-03-18T17:35:45Z
"""The Weeknd never misses. His voice, the vibe, the visuals—everything is pure art!""",@nikitap_7,2025-03-18T16:07:04Z
Nintendo beats?,@White_NovaW,2025-03-18T00:38:17Z
Carti verse A.i?,@jamiestarr9421,2025-03-17T18:35:47Z
This sounds like someone using the synthesizer for the first time ever.,@Morgan-mf5bf,2025-03-17T14:00:59Z
This beat is garbage 🗑️,@Morgan-mf5bf,2025-03-17T13:59:38Z
"Feel like skateboard P, Neptune's drums with a beat!",@freesancocho,2025-03-16T21:03:32Z
whos after cartis worst shi?,@saxuasiya,2025-03-16T18:57:06Z
March 2025 anyone ? ... this beat is just amazing 🔥,@ernestosandoval198,2025-03-16T15:12:47Z
Who's this vocals originally from?,@sapiophilo,2025-03-16T13:05:02Z
That ngga can't sing but he put out some dope songs....😂 and Carti can't rap and serves no purpose. The beat makes the song tho....Neptunes?,@keithlamont875,2025-03-16T05:10:56Z
"This beat is fucking stubborn, you can tell easily",@jdebrain,2025-03-15T23:44:13Z
the beat is so crisp,@delientexquisite,2025-03-15T13:06:40Z
I just am so touched by this vibe🎉,@marietzannetakis7870,2025-03-15T13:04:09Z
Bro why all ways this guy make some banger vibe songs ❤😂 love u Weeknd,@thefunnyberserkersshorts,2025-03-15T06:20:56Z
This beat go fuxking brazy gang,@kevinwhitmore-n5z,2025-03-15T03:20:43Z
"Why this is not on the radio is crazy, this beat is ridiculous, reminds me of Wu  Tang",@kenrichorton6863,2025-03-14T22:26:01Z
A vibe 🔥,@SpongeAaron5,2025-03-14T06:34:46Z
Y’all be glazing too much. It’s not even Carti on the track 🤣 he never even wrote the song. It’s a demo verse by another artists used AI filter to make it sounds like Carti. Y’all be calling yourself Carti fans and can’t even tell different between G strings from boxers 😂,@thaskrillazpodcastradio8180,2025-03-14T04:48:43Z
Beat got an O G feeling real good rite now! ✊🏾,@charlesfairley2669,2025-03-13T03:47:31Z
Fr the beat really made this sound good,@WEFHIWEFWJGFQEUIFKEJ,2025-03-12T21:44:51Z
This beat is  💪 🔥,@calvin6570,2025-03-12T20:28:42Z
this beat is diabolical,@thatshipsailedd,2025-03-12T15:44:58Z
If y'all don't understand how Magically Awesome this Beat is ..then I feel sorry for your earbuds... nbs ❤🎉🎉🔥🔥🔥🔥🔥🔥⭐⭐👍🏼,@marcellahillard8813,2025-03-11T15:39:45Z
Pharrell did his thing on this beat,@PutnworkSteve,2025-03-11T08:53:05Z
The instrumentals are awesome.. more than singers with verse,@harmandatta6731,2025-03-11T05:16:48Z
That beat is hard as fuck,@AndreCepeda-w1y,2025-03-11T02:08:11Z
This beat is fire gotta remix it,@originalmusic401,2025-03-11T01:38:14Z
How is nobody talking about how carti verse is completely AI generated and not even written by him 💀,@k2x680,2025-03-10T05:03:58Z
VEERY VIBE,@gamingbros9100,2025-03-10T01:23:56Z
I can’t wait to be in a better spot in life and re listening to this…. What a vibe,@daledobaggins6471,2025-03-08T19:15:12Z
beat goes crazy,@JakeJones-s3l,2025-03-08T18:06:16Z
"This the typa beat I wanna hear Bone rap to. Man, they'd kill this shit. Half the shit that comes out today sounds like it could be tailor made for Bone.",@BravoShow,2025-03-08T02:58:00Z
Sick beatzzz,@maureenferguson7534,2025-03-08T01:26:18Z
Que maldito Beat del diablo,@kllerap1119,2025-03-08T00:47:14Z
Bro that song was crazy best I beat I hear today,@JC-km2ju,2025-03-08T00:41:22Z
this might be my favorite Pharrell beat of all time its so sick,@eddiecoger1082,2025-03-07T22:38:35Z
"Love everything, I wish the girls had a choreographed dance or something, it’s a cool beat ✨✨💖💖",@barbiegamboaaa,2025-03-07T22:03:44Z
Expecting this song in spiderman beyond the spider verse,@MaxSirborn,2025-03-07T10:00:38Z
Who made this beat??,@emmanueldubuisson3456,2025-03-07T04:55:51Z
This shit fire  on repeat in the new body benz u heard!  run it up stop playin! Its a vibe,@bankdattv5344,2025-03-06T22:02:11Z
"bro is really the ""weekend"" legit a vibe after i failed my exams",@StormKing-s8x4h,2025-03-06T11:45:34Z
This is old XO vibes… house of balloons 🎈 vibes,@WithLoveDenisse,2025-03-06T02:41:19Z
Pharrel must've been held on gun point to make this beat,@no.1akhi,2025-03-06T02:32:02Z
Carti’s verse is too fire to not be AI 😭😭😭,@greentea_vsrg,2025-03-05T17:17:40Z
"Playboi Carti:""Ever since I was a kid, I knew I would be a deadbeat""😭",@Tzcheron,2025-03-05T17:17:35Z
0:23 the beat drop hitted hard in the balls💯,@KEMOQUWE,2025-03-05T04:33:54Z
And playboi carty let’s go these lyrics insane but theses woman nahhh,@Sweatyfn3223,2025-03-04T22:28:32Z
Hit a like  if you hear this beat in 2025 more than few time 😎😎😎😎🫡,@mirzaomerbasa9346,2025-03-04T19:41:25Z
Thug4lifetone here,@antoniowatkins,2025-03-04T13:39:47Z
"I mostly listen to other genres, but this has to be one of the cleanest beats of the year🔥Can’t get enough",@bluelagoon5,2025-03-04T05:32:38Z
"This song sounds really good, too bad it sounds like it has satanic parts and it looks like the dude in the music video was throwing up satanic signs and intermittently dressing as a demon or something. I love music that has pleasant sound/lyrics and guitar/metal guitar",@DaBruhMan2007,2025-03-03T23:11:15Z
