comment,user_name,date
This is a mf vibe,@queenv4340,2025-02-10T21:28:01Z
Beat sounds like germ's u dig. A banger it is,@ahimbisibwebrian316,2025-01-20T16:33:02Z
2025 anyone?                                                                This song sounds so nostalgic now😭,@nicolekeels2335,2025-01-17T01:48:02Z
I dig the beat but cant hardly tell what he's singing,@mikep8058,2025-01-16T12:30:10Z
"This is the complete opposite style of music I typically listen to, but it’s been stuck in my head like crazy lately. The beat goes hard and it has such a great flow and vibe to it.",@hyperdrive282,2025-01-11T03:24:52Z
I still dont understand the lyrics,@2RiRi212,2024-12-30T02:23:26Z
"Nice beat, but can't understand much of what he's saying  but ""million dollar baby"".",@user-gg8jq4td3u,2024-12-08T20:21:58Z
My 9 yr old son put me up this banger.  Im from Memphis and I know a dope azz beat when I hear one.  Even DJ Paul bumping this and already remixed it.  Yes Siiiir!!!!,@cameronburrell5147,2024-12-07T04:47:55Z
Best drop beat ever,@BlakePermut-l3w,2024-12-02T05:27:45Z
Once again demonstrating that the funkiest of beats make the HARDEST tracks🔥🔥,@Bread.Offender,2024-11-24T04:03:07Z
This jam is the shiz!! Bringing back the og vibe!!,@lorietipton1717,2024-11-17T04:56:51Z
Synth funk? What is this? I need answers.,@surshot56,2024-11-12T01:26:54Z
this is that Oakland late 90s beat stuff,@jaredrogers7863,2024-10-27T17:35:55Z
Nem parece que já se passou tanto tempo kkkkk um salve pros viajantes,@CaioHenriqueRosa,2024-10-26T02:14:05Z
Got  him his props like lyrics and beat speaking for myself number on rap list,@donaldfarmer9218,2024-10-21T22:46:46Z
Song is annoying af,@zp2233,2024-10-14T23:41:31Z
Gen X soundin beat through and through,@dgm6655,2024-10-14T03:07:32Z
This shit sounds good but there is zero anything special about it. As a matter of fact this exact cadence and melody has been done before,@ceades75,2024-10-06T14:32:49Z
"Catchy, but what the fuck is he saying?",@oddmontsoddington8961,2024-10-06T02:44:29Z
Bro beat my Ass,@LisaDoty-ti3dm,2024-10-04T23:34:34Z
This sound awful. Sorry.,@ArtificialIntelligenceSound,2024-10-04T12:57:54Z
"My favorite song of all time, you've beat imagine dragons.",@TheyCameFromCapCut,2024-10-04T01:11:32Z
Why is this beat feel so good? What wizardry is this?,@swampk9,2024-10-03T12:46:18Z
This song gives me major GTA VI soundtrack vibes,@natew.1381,2024-10-01T00:03:36Z
Pharell/Neptunes vibes. Virginia.... that's all..,@giovanniealexandable,2024-09-30T19:38:09Z
worst song ever nettspend is better,@xynvofooty,2024-09-25T23:30:13Z
I love the beat,@rhodakekana6204,2024-09-24T09:27:32Z
Has a Marvin Gaye / Earth Wind and Fire vibe to it,@ElronHumpperdink,2024-09-22T16:08:34Z
"A hit song with one verse, incredible",@celebritysoups,2024-09-22T00:29:10Z
This song is so overplayed it’s annoying lmao,@axel-es7lg,2024-09-21T16:05:28Z
#2 for the worst and most annoying song in the world. #1 is ice spice,@JimmyJohnny64,2024-09-19T22:10:59Z
I just came on here to say this song is the most annoying piece of shit I’ve ever heard and tbh it’s not bad but it has been so overplayed that I fucking hate it. I hate it so much I had to come on here and just let it out! Fuck this guy fr,@s.s.5936,2024-09-17T07:09:48Z
does anyone know abt songs that have the similar beat like this ?,@NguyenHai-xq4dz,2024-09-15T05:59:27Z
0:26 im always beatboxing this part,@AdonnisSatoruAlexisGojo,2024-09-13T23:46:26Z
Love the song even if the lyrics sound like a bunch of non-sequiturs. I have no fucking idea what's going on.,@losthighway1091,2024-09-13T20:38:24Z
I see all this love everywhere for the chorus but guys THAT OUTRO IS SO HARD,@CesarGonzalez-bw2hz,2024-09-13T15:11:51Z
The crazy dude smoking a J lip syncing this song brought me here. Such a vibe!,@N1ght.Marefu3L,2024-09-13T05:52:56Z
i only came here to hate this song is so fucking annoying and trash get this shit off radio already and the songs the ppl post on tik toks and shorts this shi so ass,@idkbru9268,2024-09-13T04:40:45Z
This beat and vocal is so hard to,@scottscott548,2024-09-13T01:17:09Z
Y’all should listen to Gavinzbeats version of this gong it’s heat🔥🔥🔥,@Carsandboards,2024-09-09T16:56:21Z
Dancing to this vibe bad ass tunes,@tessielopez8321,2024-09-09T02:23:22Z
This is a good song nice beat . But it seems to me that he took a page out of DJ screw book and U.G.K,@jwriley8933,2024-09-08T14:23:19Z
"When my baby brother passed away this year, this song played on the radio all the time. Hit home hard to ensure i make every effort for his final send-off , that he was Cleaned Up Good❤🔥❤... Fills me with emotion whenever i listen to this beaut of music... I will forever love you, and I will forever miss you... Till we meet again🤙",@WillieBeamen87,2024-09-08T08:48:41Z
"This is giving me ""Let it Whip"" by the Dazz Band vibes. Love the 70s style take here, we need more soul/funk types like these, great Job Tommy 💯",@GrindLikeNoTomorrow,2024-09-07T18:44:42Z
This is a Neptunes type of beat FRFR,@fatceaserdagreat241,2024-09-06T15:02:12Z
Reminisce of a Dj Paul and Juicy J beat 🙌🏾,@keanonking4847,2024-09-05T18:45:11Z
The lyrics make absolutely zero sense but this song is a whole vibe,@blackhammer5797,2024-09-05T02:07:01Z
The UGK beat I hear Pimp C and Bun B is killed by Tommy Richman,@adventurousloner,2024-09-05T01:13:01Z
❤❤❤ fireeeeee that deep voice keep up I. Too fast is best❤❤,@Sonic.com-sonic,2024-09-04T13:25:33Z
why when i saw this song at the the first time in my life i can sing the melody perfectly and remember i hear this song before 8-9 year ago and realize that it release like 4 months ago,@Stupidcat4777,2024-09-03T13:40:42Z
This gives me Pony by Ginuwine vibes,@alfonzogarganta1922,2024-08-30T19:47:59Z
Most annoying TikTok and IG reels song,@24ecko,2024-08-29T00:55:45Z
"This is just Seven Wonders by Fleetwood Mac…wow, exact same chords. Nice try, Carpenter",@charliedwight4753,2024-08-28T21:40:11Z
"*This has industry plant written all over it.  90% of the comments are bots pretending to be elderly people that supposedly love this song, and the rest are bots commenting how timeless and reminiscent of (insert random decade here) this song is.  It's a catchy song, but the insane promotion, questionable amount of monthly listeners on spotify and ridiculous playlisting all reek of payola, and gimmicks... I'm not buying it - bring back real music!*",@SquidProQuo80,2024-08-28T20:03:48Z
