comment,user_name,date
Im trying to vibe not levitate🔥,@adin7525,2025-03-15T22:22:37Z
Fein sounds like a song you’d play/perform on the Moon. And aliens would vibe too!,@an.l.g,2025-03-15T11:57:07Z
Wrong lyrics,@PrakharOjha-p4p,2025-03-10T10:32:20Z
What a vibe bro😮,@Rabimandal160,2025-03-09T16:29:34Z
Awful,@CROSSFACEWRESTLING,2025-03-04T21:04:46Z
Vibe,@Lilusha-r1q,2025-03-04T20:18:39Z
mumble rap with a clean ass beat,@lamerewalker,2025-03-03T04:57:44Z
Nothing like the vibes of hearing Fein on the dance floor,@gavincraig4833,2025-02-24T04:57:09Z
"Other than the chorus, which is pretty basic in itself, the rest of this song is pretty trash. No flow, no actual bars, nothing content. No talent really, sick beat, say the same word again and again, and use auto tune/pitch up the voice and call it a wrap.",@imrankhoja3870,2025-02-22T02:12:37Z
Guys my brother is vibe in to this song 🎧,@HarjinderSingh-bc5rb,2025-02-18T12:00:53Z
The lyrics vid came before the original video 💀💀💀💀💀👿,@YahyaHussain-y7u,2025-02-17T14:53:03Z
@vibemusic. At Mauritius,@Liverpooontop3256,2025-02-15T11:41:33Z
The vibe is fucking amazing,@jakebridgeman9543,2025-01-27T20:47:49Z
These are like system of a down lyrics 😂,@WilliamTodd-King,2025-01-25T22:55:51Z
THE BEATS IS MAKE  ME HYPED,@mirak7264,2025-01-23T12:12:09Z
0:10 is where the vibe starts😈😈😈😈😈😈😈,@Slickcarz,2025-01-22T10:05:50Z
The best vibe ❤,@marikogogoshvili3549,2025-01-20T16:19:00Z
99% lyrics is fein and still popular 😂😂😅😮😢,@shajudeenrameenashajudeenr5548,2025-01-20T10:42:01Z
The vibe is great and insane,@AkshayKumar-mh7zn,2025-01-19T13:49:57Z
Bro started this song when he met the ghost in his closet WITHOUT AUTOTUNE,@Rajveerlife0,2025-01-18T18:53:23Z
Im listing from Belgium #vibemusic,@ingedecorte4415,2025-01-16T18:52:54Z
YEAH NOTHING BEATS THISSSSSSS🎉🎉🎉🎉🎉🎉🎉🎉😮😮😮🎉,@arbnoreidrizaj7059,2025-01-03T10:47:11Z
insane vibe 🔥🔥,@Dragautaque,2025-01-01T22:08:12Z
Playing the beatdrop when the new year happens 0:24,@oliverpeachey1852,2024-12-31T23:57:31Z
Vibe in last day of 2024 😂,@AXTMAN.AXTMAN,2024-12-31T12:45:05Z
This song gives the best vibes 🤫🧏,@NUARTme,2024-12-27T23:21:02Z
Finish the lyrics just come outside for the the night…,@BarneyJackson-z2i,2024-12-26T05:03:06Z
carti be saying anything but the song’s a vibe tho,@btsdefender_,2024-12-24T05:51:52Z
After school concert vibes,@EdwardKenwayBlackFlag,2024-12-23T16:12:29Z
me and and my hgs didnt know the lyrics and sang this at the school karaoke.,@ΣαββίναΣταματακη,2024-12-23T16:12:28Z
Worst song ever,@SPGaming-b2k,2024-12-22T17:23:28Z
Everything great except autotune,@TookAHikeNowWhat,2024-12-21T20:49:52Z
✏️ Describe the vibe,@Kyzenbutnot,2024-12-19T03:12:25Z
This song vibes,@IsabelleKaronde,2024-12-11T16:31:35Z
Vibe Music you made my day!,@itzzAmra,2024-12-10T17:23:02Z
 the beats,@Mary-l3b1i,2024-12-10T09:59:23Z
Contender for Most annoying Song of the Year.,@brucevanbaalen4992,2024-12-09T00:26:09Z
Autotune and autotune,@shahmuhammad3375,2024-12-07T19:25:03Z
hi i'm so sorry darling but uve got some of the lyrics wrong xx it's acctuallly FEIN not feind so i would fix that thank you x u should really check ur lyrics before you post 👍👍,@emiliarosethompson,2024-12-06T18:37:12Z
Night vibes,@shambirbal7379,2024-12-04T10:41:24Z
Just come outside for the night take your time get your light  jhonny dang yeah l been out geekin  FE!N FE!N FE!N FE!N FE!N FE!NFE!N FE!N FE!N FE!N FE!N FE!N N FE!NFE!N FE!N FE!N FE!N FE!N FE!N  ; the  careers more at stake when you in your prime fucsk that paper baby my face on the dotted line I been flyin out of town for some peace of mind its like always they just want a piece of mine focused on the future never on right now what  im sippin not kombucha either pink or brown Im the one that  introduced you to the you right now OH MT GOD THAT BITCH BITIN WELL ALRIGHT TRYNA VIBE  IN THE NIGHT COME ALIVE AINT ASLEEP AINT A AINTAINTN FE!NFE!N FE!N FE!N FE!N FE!N FE!N N FE!NFE!N FE!N FE!N FE!N FE!N FE!N,@edits_farias,2024-12-02T09:01:34Z
✏️Describe the vibe,@Superman-No.1,2024-12-01T20:13:38Z
What the hell feind why in lyrics,@GOD-GAMER_123,2024-11-29T10:04:20Z
This song is such a vibe,@aneec10,2024-11-29T04:42:41Z
lol bro fiend?? these lyrics make me laugh,@donaldtrollz,2024-11-29T03:56:47Z
Thanksgiving Eve Vibes lol,@AyeeeDreanneee,2024-11-28T00:18:39Z
The vibe is insane damnn 🔥🔥,@Cars_addict8498,2024-11-26T17:00:18Z
It's not even fein its feind on the lyrics 😭,@Kaiyourlocalgay,2024-11-25T16:13:01Z
this is not the lyrics it just said syrup😭😭,@grac33333lol,2024-11-25T02:06:16Z
How will I ever remember this chorus?,@davidwas77,2024-11-24T00:56:00Z
the lyrics messed up nigga,@M.rNebaTobe-mf3bv,2024-11-23T09:35:41Z
I don't understand anything of what the second guy say... Even with the lyrics,@ninjaDu59,2024-11-22T07:13:39Z
Lyrics: fein fein fein fein fein fein,@MemesCentral1234,2024-11-19T06:22:26Z
f1 edit vibes🚦,@nathiiinathiii,2024-11-18T20:08:45Z
Just come outside (finish the lyrics),@KoiSinger,2024-11-18T03:22:36Z
Vibe,@neopihaokip5119,2024-11-15T10:07:27Z
UNDERSTANDING 0%  VIBE 100%. FE!N🔥 FE!N 🔥 FE!N 🔥,@SaketvinodkumarVanga,2024-11-15T08:13:41Z
"LOL these lyrics are horrible, complete dogshit but the beat and hook carry the song.",@Hugs91ttv,2024-11-15T03:39:34Z
all lyrics is just ''fe!n'',@qt_femboy,2024-11-14T10:35:59Z
1:13 VIBE 🦁,@Lena_320,2024-11-12T13:39:54Z
LARA VOCALISATION HITS HARD,@Sweetsong734,2024-11-12T07:03:10Z
