comment,user_name,date
"Thank you so much for always helping me through the darkest parts of my life! Seriously you guys lyrics have saved me. I just lost my mom, I think that everybody leaves. Ily guys thank you!!!",@megganevans3472,2025-03-13T14:20:35Z
Sounds like a Prodigy beat 😮,@Triangulum303,2025-02-19T18:03:27Z
Such a beautiful and touching song. I have been so obsessed with the flow of his words and the layered emotions of how Tyler sings this. And oh how I love the live version of this!,@TheAnxiousGreyhound,2025-02-18T17:50:15Z
Never trust a perfect beat,@WAM0T0-6RTO,2025-02-08T10:03:33Z
It kinda gives me heavydirtysoul vibes,@SerenadeScribe,2025-02-03T10:52:55Z
If only half the lyrics were actually written by them. Good thing the real writer actually likes there music. too bad he closed his public social media accounts. But I'm sure they could find a way to future collaborate. Same goes for several other newer artist not being mentioned in the here or the now. I'm sure they know a round about way to use mutual contacts to reach the person.,@JaycsBetterwood,2025-02-02T03:04:51Z
Wow Mutemath kinda vibes.,@imlilycierra,2025-01-18T07:29:19Z
Gorrillaz vibes,@Bonez207,2025-01-10T09:58:42Z
"I'm new to TOP after their Game Awards performance but god damn if this isn't a tune I don't know what is. Such a vibe, love it!",@dannyb016,2024-12-24T22:57:23Z
Awesome lyrics & sound.  Not just a song but an experience,@Gypsy-o1k,2024-12-09T04:16:29Z
"Can't believe I'm still here since 2015. Bandito lyrics hit hard, these guys shaped who I am and created a world where we all feel connected. CLANCY IS BACK!! New era, here we go!!!",@KellyDHouck,2024-12-01T11:23:15Z
The beginning sounds like a Tame Impala type beat and lyrics,@unknowguy3894,2024-11-28T16:45:44Z
"This video has always reminded me of the video for Mantra by bring me the horizon. The cult vibe of it, lol",@tnetennba725_3,2024-11-12T08:45:31Z
Man the beat is fire 🔥 🔥,@kilod1346,2024-11-05T17:07:22Z
"fun fact; I shazamed what song this was so I could come here and tell you how much this track sucks, repetitive garbage",@dirtjockey3220,2024-10-21T23:37:05Z
This song gives me vibes from another planet..,@lorenafleitas7777,2024-10-10T03:03:19Z
1:35 that tempo change is the best,@EstebanUrizarTICS,2024-10-06T03:48:45Z
Its so nostalgic with that Bandito Lyrics.,@ironcoleyt,2024-09-23T01:47:49Z
Only TØP can play 2 seconds of synth and make me want to dance like the bishops in Nico And The Niners,@NåtusIgnis-e2b,2024-09-22T15:58:27Z
The breakdown.. giving me a vibes of Prodigy... i love it!,@siradymccoy,2024-09-20T10:19:18Z
"I'm 47 and I relate more to this guys lyrics than alot of my generations stuff this guy is truly lifted lyrically, you can tell he puts his heart and mind into being a benefit to people man it's a breath of fresh air in a world consumed by selfishness",@one4thought776,2024-09-18T22:07:03Z
Prodigy vibess,@anastasiatrifonenko1761,2024-09-15T18:25:40Z
SOLID Music!!! reminds me of PRODIGY Vibes,@robertogalleon3436,2024-09-12T03:12:55Z
"the new and improved....., I love the chemical brothers........  way to go gentlemen......throwing in the arrangement of the cadence, vocals, rap sessions, I0",@DavinciDesign-i9n,2024-09-10T23:18:43Z
O que está acontecendo com as músicas do Tyler? Cadê o som? Beat?,@titon_vex3104,2024-09-03T05:09:36Z
"Great sound, just a great performance and pitch",@Black24997,2024-08-20T20:23:56Z
"""I created this world.. to feel some control."" Hits really deep knowing that we seek the depths inside of our heads where we still feel that we are in control of everything or even some control as it's stated.",@OsamaRiyad-q1f,2024-07-26T23:11:37Z
These guys are just all vocals vocals vocals blah blah blah. They're so up front in the mix and those sliced beats are generic af. For this sound done right check out eightfourseven,@SikTh4lyfe,2024-07-22T08:22:34Z
Great beat selection for the fight song!,@JinniScience,2024-07-06T00:26:10Z
Plz bring back more of a calm ish vibe like you older songs im sorry but you guys can’t rap,@Rippedboredom,2024-07-04T17:12:12Z
