comment,user_name,date
"Acabo de ver un corto de #vocalcoahreacciona con esta cancion y vine a buscar el video completo, me ha encantado otro joven con talento ❤",@Lupilu4745,2024-12-16T19:22:26Z
El autotune esta pero 😂,@1503JiNX,2024-12-01T03:13:38Z
Respeto mucho los gustos y todo los fans de artistas pero de verdad no hay calidad vocal ni presencia escénica lo vine a ver por una noticia de soborno en la tele  pero bueno no le veo la gracia solo los músicos que esos si tocan súper bien,@JavierGonzalez-sc2es,2024-08-20T21:27:32Z
El mejor regetonero del mundo 🌎,@Zahi-Rana2024,2024-05-18T23:19:23Z
Cuéntame ya pensé los 12 a la víctima tú sabes para ver si si se cometimos errores porque te pasas de lanza por feria por todas partes un caracol con toda la temporada que ella reparando pesarte para que porque son porque pensé que me querías y otra vez con tu mamá enteras yo pensé 12 años relativismo tú sabes claramente si se metimos errores porque te pasas de la agarra tus cosas me da hasta la v**** no quiero volverte a ver ese sonido que tanto quería me malagradecida que eres de que me crea otra vez con tus mentiras,@Jmrkyjp,2024-05-18T19:56:21Z
DAMN! These young Mexican artists are KILLING IT!!!!  I’m Puerto Rican raised in America and a huge fan of old school salsa. This dude and this song gives me the same vibe as the fiana era to a certain extent. If this kid is writing his own songs holy shit even if he isn’t writing his own songs still holy shit and the band!!!!!???? HOLY SHIT!!!!  I’m in my 40’s and I’m here for this wave these guys and the bands backing them are part of a legendary era that they are creating,@illnessshaw,2024-05-13T15:35:54Z
original song melody from which song/singer?,@othernamen,2024-05-10T21:41:36Z
Endon de vibes😊😊😊😊,@vanessahernandezrodriguez4564,2024-05-05T23:56:31Z
"I mean, by who's the second one asked Moses? Okay, you're the worst opera.",@MariaReyes-mg8tc,2024-05-04T00:22:18Z
Tremendo temazo sin autotune,@Nolimitshere,2024-04-14T16:07:33Z
Cantas igual sin o con autotune,@ModestaHernadez-i1k,2024-04-09T23:53:25Z
Desde Peru . Pero díganme si es el mismo tempo que un vals. Lo que lo hace especial es el acompañamiento y su interpretación. Que lindo vals,@carmenceciliahinostrozacal1327,2024-04-06T12:41:00Z
"Me gusta su voz, me gusta él , espero que se mantenga así, y siga original, que no imite a los reggaetoneros y siga marcando la diferencia",@rosariobatista7362,2024-04-03T19:10:17Z
"Hasta que llega un joven a este género con buen rango vocal, excelente vibrato y con letras que no hablan de cárteles. Ojalá y siga así, mucho éxito!",@reverserp42,2024-03-27T03:55:41Z
Avienta el mismo rasgueo de la Diabla sale mejor el timbre de voz,@WichoTraance,2024-03-21T01:04:22Z
Si este es el género que va tumbar al reggaeton y su estos son los muchachos que se necesitan para acabar por fin con esas letras asquerosas que sacan los reggaetoneros entonces yo apoyo a estos muchachos y a su música un 100%,@jeffersonnunez6805,2024-03-14T15:16:10Z
Xavi no necesita autotune,@MelanyGomezsuarez1127,2024-03-14T13:30:08Z
LA VICTIMA... VIDEO LYRICS ❤❤❤❤❤❤ LES DEJO EL LINK VAYAN A VERLO https://youtu.be/IJTvPDo17j0?si=TeQJ1VDeyz55FnoE GRACIAS ❤❤❤❤❤❤,@Rusherking_Alejandro,2024-03-09T05:37:12Z
Con Aututone O sin Aututone canta igual,@yulisaortega9686,2024-03-06T00:48:16Z
El xavi es mejor que el peso pluma xavi no usa tanto autotune y el peso pluma un chingo creo q ni usa autotune el xavi,@Lhyare,2024-03-04T20:05:32Z
Desde colombia reconozco que esta canción esta rebuena el men canta bien me gusta el tema pero pense que era el cantante mexicano con sus botas y sombrero que en realidad me fuera gustado ver no dañen la imagen de los cantantes de este genero vistiendo como reguetoneros solo esa era mi humilde opinion pero de resto la cancion super,@oscarmontoyarivera5894,2024-03-03T17:06:57Z
"Shii ngl homie ion even be escuchando this typa musica, mostly be w that spm or that carnalismo ese shii pero after my sister put this on at her quince n 4 shots deep into that henny a vato f wit tha rola",@cesarcortez5469,2024-03-02T05:50:32Z
xavi no nececita autotune su voz es bellisima,@Mortadela_comedia,2024-03-01T17:23:09Z
Xavi no conoce el aututone 🗿,@mariaclaraavalospenayo,2024-02-21T18:07:41Z
Xavi es el único cantante que canta muy bien sin autotune,@rosyvillanava5796,2024-02-17T20:03:09Z
"Este hombre no necesita autotune,el autotune lo necesita a el 🎉",@addisoncevalloscumbicus7164,2024-02-17T15:37:12Z
Con autotune  o no.!..😂😢,@LuisRodriguez-vp3xc,2024-02-17T12:21:42Z
nice melody,@benly32,2024-02-17T07:26:38Z
"Hoy 15 de febrero vengo a dejar este comentario para dedicarle esta canción a Chan de los skz, tremendos cuernotes que me puso",@pilar652,2024-02-16T05:28:32Z
Dam.!!!! mcloveing got famous 😂 love the lyrics and beat keep up good work 😊,@ericamarmolejo1360,2024-02-15T02:13:57Z
Sin autotune es mejorrrr Xavi ❤😊,@Usermikena,2024-02-13T16:10:11Z
Este sera mi ringtone de mi cell😊,@negroclaro2360,2024-02-12T17:22:15Z
I know the whole lyrics I learned if in 1 days,@anaisbarboza-vk5pn,2024-02-11T21:37:52Z
"Este es mejor que el ""bad bunny"" y que el ""peso pluma"" esos manes sin autotune no viven y xavi sin autotune es hasta mejor que con autotune",@leinad04,2024-02-08T12:09:50Z
"Yo no soy de escuchar este género musical pero por alguna razón me gusta el estilo vocal, tiene buen talento el muchacho y actitud, espero Xavi con todo el corazón que no caigas en las drogas y en la banalidad del ambiente artístico. Que Dios te bendiga tienes buen talento.",@omarpareja91,2024-02-05T14:26:22Z
Pretty catchy rhythm but some parts parts sound awkward,@chubbsblox7284,2024-02-03T04:17:37Z
This video has very strong early Marc Anthony vibes,@annmeds5727,2024-01-30T23:52:24Z
Por qué me gusta tanto más cuando las escucho en vivo sin el autotune perfecto?,@enzostark,2024-01-28T10:12:53Z
Este chico debe de quedarse siempre en el primer lugar ya demostró que no necesita del autotune para cantar. Estos si son artistas de talla grande. 👏🏽👏🏽👏🏽,@faviolamartinez5941,2024-01-27T18:32:15Z
Sin el autotune parece una chiva enredada en un alambre 😂😂 🐐,@yosmiq7231,2024-01-25T06:05:13Z
Bro tu no nesecitas autotune,@NiterCarrasco,2024-01-21T13:28:37Z
Se escucha mejor sin autotune la neta,@AngelGabrielCoronamoreno,2024-01-19T15:54:43Z
❤❤😮😊vocal excelente,@lupeelwell2219,2024-01-19T05:20:54Z
Hasta sin autotune se escucha igual,@Palolo-t2j,2024-01-19T01:06:29Z
"lo he escuchado en otros videos y canta bien, no hay necesidad de que use mucho autotune...",@sergiooswaldoponcepaiz934,2024-01-17T19:48:37Z
puro autotune 🤣🤣🤣🤣,@956tacho,2024-01-17T01:10:37Z
Todos pensando que canta bien y sin autotune no es nada XD,@chrisperez620,2024-01-15T23:36:29Z
Siempre se escuchan mejor tus canciones sin autotune pak? Pak lo usas si sin eso la música puede sonar mejor y gustar más.,@Flaco2.0.0.7,2024-01-14T14:29:53Z
Hervorragender Rhythmus und Stimme🎤🎼🎼🎼🎼💃✌️,@cameronmerkel4113,2024-01-13T06:46:38Z
suena chida la canción alguien se sabe el acorde que hacen al final? Oh es reverb?,@plugcuh,2024-01-13T05:01:29Z
"Bueno, por lo menos tiene calidad vocal, tiene talento.",@fabiancorrea9571,2024-01-13T01:44:12Z
I feel the Vibe 🇭🇹🇭🇹🇭🇹,@onclebenzparanoy7255,2024-01-11T21:58:25Z
"Buena voz fuerte ,seguro.. casi como la del ex vocalista de revolver cannabis,... Bendiciones y suerte que va parriba como la espuma",@rockohdez6033,2024-01-10T00:15:37Z
Tu si eres un cantante de adevis no q hay otros q puro autotune eres un ídolo para mi,@AracelyDuenas-mt6wn,2024-01-09T02:06:56Z
Me gustó machin la voz d este compa.  Y sin autotune. 👍,@jesuscisneros3624,2024-01-08T00:54:32Z
La chivita con autotune,@pepelupe,2024-01-05T16:03:32Z
Nada más los weyes gritones del inicio esta culero,@jairmarquina3045,2023-12-31T18:03:08Z
Jose Jose vibes,@aronhernandez5637,2023-12-30T05:48:49Z
"Además de guapo y talentoso, tiene un timbre de voz que cautiva desde la primera vez que lo escuchas 😍",@Malusiitahw,2023-12-30T04:19:01Z
"The melody is a lullaby for the soul, soothing and comforting in every way.💕💕",@JesseBeaton-oh1dt,2023-12-26T07:43:35Z
Deme una página para descargar la musica a mi celular y tenerla de ringtone saludos desde manta Ecuador 🇪🇨,@WalterZamora,2023-12-23T15:21:17Z
"En algunas partes esta rola tiene tonadas sospechosamente similares a la rola ""a esa"" de pimpinela, es decir, mismo ritmo pero diferente tempo.",@dhormm,2023-12-22T20:35:39Z
"Grgab4. Si, no  duwekg sufrir ods😊dnbfg . Pero bueno  👍 cg lcmksodkgnv urj. Tritones es una empresa que tiene dos frgdx, qquf por el mundo",@GabrielaHernandez-qp9yx,2023-12-21T22:05:55Z
the guitar in this is another amazing part to this songs melody🎶🔥,@SheAlmighty,2023-12-16T22:39:10Z
Yo pelate a la Vega verse hitt,@FelipeHernandez-hk6bm,2023-12-16T03:10:31Z
La verdad pienso que no usa autotune 🎉🎉🎉,@IsaacCabeza,2023-12-14T17:19:56Z
"1 year completed of this song,,,but it is still now 25 no global top music on you trending,,,,this is the power of SRK+Arijit....and deepika also👍",@ezaza878,2023-12-10T19:56:03Z
Canta super bien pero super bien culero una cosa es cantar y otra que te pongan un buen beat,@Luis-u7u1u,2023-12-09T08:02:40Z
"El Efecto De Reverber De La Voz Opaca Tu Voz, Si Hubiera Sido Un Poco Más Natural Hubiera Quedado Mejor (Escuche Donde Cantas Acapella y Uff Que Voz Hermano) Pero Vas Pa' Arriba My Bro🎉🎉🎉",@onepeff7093,2023-12-08T04:14:51Z
Este va ser el próximo tiene buen timbre de voz,@trippywonderland846,2023-12-04T21:11:54Z
Todo esta en nota y en beat y tiene feeling por eso está dura su música 🔥🔥🔥 con el tiempo el mismo se tiene que adaptar a pronunciar mejor los punches.,@AlexanDroMusicTv,2023-12-04T17:51:01Z
"Tienes talento vocal, lo que no tiene pp y nc; t va a ir súper bien, no más mantén los pies en la tierra cuando t llegue la fama, que ya t esta llegando, saludos!!!",@jesusrios2411,2023-11-18T13:58:12Z
"Nose pero tienes una abilidad en tu voz que no usas autotune,y cantas bn perro",@antoniofierro6713,2023-11-13T23:34:29Z
Chingonsote! VIbes del maestro Jose Jose!,@BlakeVaz,2023-11-09T20:22:40Z
Vocals and vibes💯😮‍💨🔥,@CoryGarcia-w9s,2023-10-20T06:13:44Z
This mf is giving Jose José vibes.. wtf! Lol its crazy. 😅😅 fire fire fire,@azteca088,2023-10-07T04:14:02Z
"Su control vocal es otro pedo, canta muy perro",@ayosh8080,2023-10-02T04:17:50Z
Me da unos vibes de una rola de Enrique bunbury pero algo bien 👌👌❤️,@JoelRodriguez-cs7wh,2023-09-27T17:09:14Z
Esta pegajosa la canción y el timbre de voz y la tonada  la neta quedó 👌,@DANNYEL.P.G,2023-09-26T17:55:49Z
This song wasn’t it too much hype and lyrics wasn’t it. Feel like he rushed it to get it out,@ryanstoltie7022,2023-08-22T23:38:07Z
I love the way you sing this one. You have so much control of the different tones you’re using. Solid sound. Xoxo Xavi,@glowinbyglo5470,2023-08-20T05:20:57Z
"Is good, I like it, I feel the vibe, congratulations",@ernestovega3663,2023-08-19T05:47:01Z
