comment,user_name,date
Cooking someone in the park to this will forever be a vibe.,@masontoliver,2025-02-07T20:31:06Z
essa musica transmite uma vibe de Praia,@joaofelipe7502,2025-02-06T22:56:07Z
Nostalgic already,@Annoyerduh,2025-01-30T18:57:49Z
I love this it gives me summer vibes and helps with … stuff?,@Y4tt4_th3_pìn4t4,2025-01-22T01:22:15Z
THIS SONG IS EVERYTHING. WHY DOES IT FEELS NOSTALGIC,@sadecebiri9081,2025-01-05T19:08:30Z
This song gives me Despicable Me vibes,@GoofballStupid,2025-01-03T21:25:02Z
"I really like the groove - the instrumentation is fantastic. But do NOT compare this to Bob Marley songs. I can barely hear any lyrics because of the mix. Beyond hearing the words ""fire"" and ""Jah"" this is NOT a song worthy of saying ""oh wow, the Marley gene carries on."" In other words, this is basic one drop-kick reggae that I'd expect to hear on the sail away deck party on a Carnival Cruise.",@YouKnowWhereYouWentWrong,2024-12-31T19:51:59Z
Nostalgic,@smashh109,2024-12-30T15:29:49Z
"this song is giving me a weird nostalgic feeling idk why , its so special",@ayoubbanid5929,2024-12-15T14:57:05Z
Shit bro I low key get emotional this reminds me of my childhood for some reason,@LeBron_James6for_life,2024-12-15T08:08:11Z
2025 VIBE,@rabiamed4168,2024-12-12T13:29:53Z
vibe do krlh,@gabrielmacedo1763,2024-12-01T21:05:16Z
I swear I heard this song way before it came out or the beat at least and it wasn't bob marleys song crisis i think it was in a movie about stoners years before this came out,@BDK-krispyking,2024-11-27T11:11:30Z
Melhor vibe😇,@AldomirMariano-x9f,2024-11-17T18:31:28Z
"It's like i already listen this song... This is relaxing and a vibe, no doubt 🔥",@Albertistgut,2024-10-21T21:42:03Z
If aliens ever came down and said show me summat thats universally understood and appreciated id show them some reggae. Tbh anything else is quite frankly not up to the task.  Hip Hops where i live and while I pretty much like all of it. Reggae is not where I live but I still like all of it.  There isn't a single riddim that I dislike. That means something deeper than what I can write,@shadak1ss,2024-10-09T19:49:50Z
I don't know why but this song gives me Berry Avenue vibes (btw for those who don't know Berry Avenue is a Roblox game),@agripinafet4707,2024-10-09T13:19:57Z
*Hearing Bob Marley’s Vocalization from his own grandson echoes goosebumps down my body since growing up to his songs as a child.*,@reggaesoul24,2024-10-04T07:08:57Z
To all the souls saying this is just an ok song. You're either listener's or to be more kind hearers. I myself am a feeler as weĺl as the other 2. And whilst music preference is subjective its still an artform and therfore there are objectively better combos of notes that will soothe the soul. As an example I dislike rock but am not so ignorant of it that I dont feel the good songs. I say good cos our language limits us. Queen can be used as a good example.  No album filling. Every song unique and distinct even haters recognise one of their songs lol. Now thats talent. Anyway im curving away. Long story short this song is beautifully designed and hits u in the feels. If u reply to me to disagree then youre proving me right. Love you all see u at the end,@shadak1ss,2024-09-30T09:18:29Z
Muito foda amei a vibe ❤,@marcelaalves7471,2024-09-29T17:21:31Z
Im at the end of the song almost and i hope he runs that chorus back one time in silent,@mundoswrld2453,2024-09-29T16:21:13Z
Reggae is international 💯 % good vibe,@JaySmith-xc7gc,2024-09-27T19:37:19Z
"I was just listening to your grandfather saying the ""sun is shining, the weather is hot'. I couldn't help but to pull up this vibe. Thank you!! Big up yourself, well done!!! ♥️🙏🏾♥️",@anitaclark4530,2024-09-25T02:44:54Z
Meu deus que música incrível! Dá uma vibe muito boa.. cai na cama na grande vibe,@IcaroFenrirX,2024-09-25T02:14:47Z
"This song sucks bruh. Most generic reggae song I've ever heard. It's like you stripped everything about the original song and just made it so plain. People need to listen to steel pulse, yellowman the classics not this pile of crap",@feardarkson7095,2024-09-24T05:31:52Z
"I’m sorry, but his vocals are terrible",@thomasmorse5175,2024-08-24T17:10:39Z
Pura vibe ❤ love love love,@geovanaelainebarboza9925,2024-08-23T16:46:31Z
"I hate to be that guy but this song ain’t it at all. Most of the song is samples, and he is barely singing behind that autotune. This passed through because he is Bob Marley grandson",@daheneral1459,2024-08-18T21:55:14Z
When i first heard this song i thought it was a Bob Marley song I hasn't heard yet. It sound too good and nostalgic,@modisedaeswatiniprincess6944,2024-08-14T21:03:00Z
Beautiful and deep...love this song❤❤❤,@verlenewilson-samuel8769,2024-07-20T12:07:28Z
Bob Marley  vibes...,@albertopadronmedina9307,2024-07-16T21:44:50Z
Gives me summer vibes ☀️ 🏖️,@vulam2220,2024-07-05T17:12:55Z
"Witnessing this moment feels like a dream come true. 🌟 I’m overwhelmed with emotion knowing that I got to experience this in my lifetime. He’s incredible pure genius and a true generational talent. 🎶 Carrying the legacy of his late grandfather, the legendary Bob Marley, is no small feat, yet he does it with such grace and brilliance. His music not only echoes the spirit of his grandfather but also brings a fresh and powerful energy that’s all his own. 🌍❤️ His talent is nothing short of remarkable.",@eashsbou-tique5880,2024-07-03T09:39:38Z
I love the lyrics you can sit back and just ride. The waves smooth sailing BM for life!!,@LesslieFoley,2024-07-01T18:38:41Z
Je l’aime trop ♥️♥️♥️ C’est sur que ce gamin de 22ans va devenir une superstar ! Grâce à sa maman lauryn hill qui lui tansmis sa trop belle voix grave et à son grand père bob qui lui donné toutes les good vibes ✌️♥️,@Jenni28005,2024-06-30T15:13:08Z
This song….its like a light has been turned on somewhere deep in the distance. And I can see a way out of the darkness. Thank you 🙏🏾,@deydirkarjerb7309,2024-06-22T04:45:58Z
No cap Ima Yank But this song here I love the beat and vibe,@johnnyPeaxhy,2024-06-20T16:59:37Z
Good song but he doesnt really say anything new or anything that rivals bobs triple meaning lyrics,@firefistx7477,2024-06-16T10:27:49Z
I dont like this song at all really. Everyone hyping it up like its the next Bob Marley i just dont see it. This song has no real meaning to it. Literally i only liked a few seconds early on. Im not hating on the dude he might have a great future but this is too hyped for no reason. Hes not the next Bob Marley. One it's a sample of bob marley and isn't original another thing is that he uses autotune and is not his true voice. True reggae artists don't rely on auto tune just pure talent and voice from the heart. He also isn't lyrical he relies one one liners and for half the song its just that. I need to see more actually speaking and showing me something that's not just one liners and sounds. It's a catchy song sure but it doesn't embody the style of a bob marley. I expect much better from him lyrically moving forward. Stop trying to force something and actually learn it and get used to it so it sounds natural.,@TheGamingShogun,2024-06-12T12:36:51Z
Sharing this vibe in Noumea when it's most needed...Jah lives,@BerlinK-r4q,2024-06-10T06:59:01Z
He gets into his lyrics on a spiritual level just like his grandfather did. Marley genes for sure.,@pvaughn7908,2024-06-03T02:18:21Z
....a love black metal too but i can realise that anything contributed ti bob marley is art....and no matter what art will come to us nothing can touch my heart like bob marley   music lyrics and art thank you all my love from athens❤,@kali916,2024-05-31T18:17:34Z
"This is my baby boy Arlos favorite song.. 🎶 and his 5 year old butt sings his little lungs 🫁 out … such a vibe ! If u ever having a bad day, put this on and guarantee if u allow it too.. it will help u!!! give him the praises , life’s too short 🙏🏽",@TerranceTaylor777,2024-05-23T03:01:07Z
Roads of flame catching on fire 🔥 Deep❤,@nikole77t8,2024-05-20T10:08:12Z
the vibes of this song are truly amazing,@user-wm8iy2cq7m,2024-05-18T11:35:30Z
those vibes are out of this world,@byte_me_xd-hk5zt,2024-05-18T03:21:27Z
2019 VİBE,@futboldunyaszz4060,2024-05-12T23:02:33Z
"Atemporal, forever!",@marcussantoss,2024-05-11T16:52:53Z
Why autotune?,@pietjepuk9030,2024-05-09T21:25:23Z
Beautiful melody .  I can’t stop skanking to this gem ❤🎉,@regsis,2024-05-08T22:36:41Z
"Thank God I found this song on the first try, I heard it somewhere and had no idea what it was called, I love that YouTube has the ability to so that with no information haha good vibes",@AnonymousVap3s,2024-05-08T21:49:38Z
Annoying song. Everyone on social media uses this song,@mexicanr3volution944,2024-05-08T16:40:16Z
This song is such good vibes somebody keep the likes up on this so I can come back 10 years later,@nightj9396,2024-05-07T16:24:18Z
this song is too vibey & relaxing  real nostalgic,@afirespark3219,2024-05-07T10:40:53Z
Lyrics ?,@mem9628,2024-05-06T10:32:46Z
I feel like I hear his mom in the background vocals at 1:47 and,@tiffanymcinnis5341,2024-05-05T22:29:53Z
"JAH, YAHWEH and JEHOVAH are the same, the last two are valid translations of the name of God in Hebrew, and JAH is an abbreviation of the original name, and is not from the Rasta culture, it is a name that appears hundreds of times in the Bible, King David used it a lot in the book of Psalms when he composed songs for God, and the name Jehovah is one of the translations of God's name that is supported by Hebraists and is one of the best-known translations in the world. The only difference is that Rastas believe in reincarnation and Christians believe in resurrection, but it is the same JAH. JAH is the same God for everyone, he is the God of the universe, let's stop divisions. ❤",@danelbonnet4808,2024-05-04T04:08:46Z
Maaaaaaan this hits deep! Grew up listening to Bob Marley and this brought tears! “Give Jah the thanks and praises” ❤ 🙌🏻,@qsiv9079,2024-05-03T19:34:12Z
The vocals are way too processed for me. Too much autotune.,@myth1356,2024-05-03T13:11:40Z
"It’s lame. Bob’s song was meaningful. This guy just spitting out random things that make no sense. He stars with flames, then a girl that calls him a liar, then someone picking your pockets, then repeats praises. He doesn’t elaborate but spits them out randomly and moves on till he starts with repetitive lines of praises.",@theephraimite,2024-05-03T04:02:32Z
The vibe is real!,@ampm4388,2024-05-01T13:28:28Z
Listen to this in the summer is the best vibe,@Gomes_official,2024-05-01T10:05:45Z
Its just a rip off of the bob marley song crisis and he added a few lyrics.,@Rechkalov7,2024-04-30T23:13:39Z
"I like his singing, definitely catchy but so overproduced and compressed 🤢",@Fredaonch,2024-04-29T19:54:16Z
Crisis ft The Wailers vibes,@daedaluxe,2024-04-29T16:11:07Z
Que vibe boa ☺️,@lizandradias335,2024-04-28T16:10:54Z
"Thank You for sharing your gift!! ❤❤❤You remind me and sound like your Grandfather!!! ❤❤❤ continue to bless us with your voice, vibe and message!!! 😍😍😍🙏🏽🙏🏽🙏🏽",@tameyabannister9091,2024-04-28T03:11:48Z
Every since I heard this song few weeks on the radio I wonder who sing this song heard it yesterday hurried up grab my phone to see mmmmmm ssssir juuuuus wanna let chu know diiiiiid riiiiite here FFFFFIIIIIIIIRE yaaaaas been tryna to download as my ringtone yes thank you sssso much for this song if this don't make number one I'm going off keep May God Bless You Yo❤❤❤❤,@VenusMitchell-pw5sf,2024-04-27T10:29:10Z
100% autotune 100% amazing lyrics,@SkyteVR,2024-04-25T22:38:05Z
This beat its 🔥,@SparrowRz,2024-04-25T04:34:19Z
This songs makes me nostalgic about love past & present 💋,@mulamoney7833,2024-04-25T02:22:44Z
YOU CAN FEEEEEEL THE JAMAICA IN EVERY BEAT 🇯🇲🇯🇲🇯🇲,@kingbenjithegreat6195,2024-04-25T01:23:38Z
Bro really jus stole his grandpas beat and made it better,@Braydenkuhns20,2024-04-25T00:52:25Z
This song is so good it makes me want to vibe,@thatcybernoob,2024-04-24T20:44:40Z
This song gives me a lot of vibes and it's crazy,@Endragon7783,2024-04-24T17:14:31Z
Thought this was great until I realized it's just a ripoff of his grandfather's music with some remixing and a few lyrics added. 😂,@dustjunky2000,2024-04-24T16:24:31Z
Vibes in the morning while I drop my kids off at school ❤,@officialcandp,2024-04-24T13:28:27Z
The whole Exodus vibe is chilling to the soul  Goosebumps 😳,@coppachahta5488,2024-04-23T19:14:16Z
I hear both sides in one man. This is very powerful ❤️❤️❤️❤️,@elchamoamor,2024-04-23T17:28:37Z
Don’t usually listen too reggae but this a vibe for sure,@ricodaleo4160,2024-04-23T13:27:02Z
Aaagggghhhhh I can’t stop listening to it it’s giving huge holiday vibes ❤❤❤❤❤,@the.-.littledino-,2024-04-23T06:58:21Z
Goooood vibes thank you! Blessed 🙏🏻🙏🏻🙏🏻☀️☀️☀️,@somos.tesoros_,2024-04-23T02:23:57Z
"What a beauty of a song - lyrics, melody, voice wow ❤❤❤",@CeeceeH1819,2024-04-22T19:50:08Z
all i can say is wow. just wow. saw the music video yesterday and im just in love with everything about it. from the raw love you see between you and your mother to the heartfelt lyrics.,@blackrari,2024-04-22T08:55:30Z
This song got that good beat,@titanfall2fan295,2024-04-22T02:47:45Z
"Love the lyrics ,and very nice voice!! Very Nice!❤❤❤",@rachelr375,2024-04-22T02:06:59Z
This gives me 2005 vibes 😭🔥,@NotHaruFr,2024-04-22T01:55:50Z
So emotional! This song reminds me of the past and the future at the same time. Legendary Bob Marley combined with the legendary Lauryn Hill... two generations... now the son is taking over...the new generation is here bringing memories of the past and hope for the future. I am speechless and in tears! 😭 What a blessing to listen to all this beautiful music. Thanks and Praises! ❤🙏🏽,@AS-br8in,2024-04-21T11:38:45Z
Singing this with my palms up to the sky cause what a vibe 🤍,@tiffanytorres1953,2024-04-20T19:38:49Z
