comment,user_name,date
Seven needs only 7k for next milestone - what a great is day today for our Jungkookie!! Keep loving him he deserves all the love..,@Still_Tannies02,2025-03-21T18:33:46Z
Two milestones in one day! Such a success! I think social media will burn today. Congrats to JK and all his fans.,@maja9091,2025-03-21T18:19:45Z
I'm here for my most fav vocalist of all time.. Jungkook and his addictive song Seven which I can't get enough  of....,@Closer_To_Youu,2025-03-21T15:36:05Z
Let's go people. Let's reach this milestone,@chaedzamugoni8429,2025-03-21T14:51:37Z
"Jungkook lovers, please continue supporting him with positive vibes and refrain from leaving negative comments here <3",@mycutiepie9999,2025-03-21T12:01:12Z
"""Your voice feels like a dream—so mesmerizing and unforgettable!",@Rosalie-w2i,2025-03-21T11:45:22Z
This song is full of amazing vibes,@chaedzamugoni8429,2025-03-21T06:24:19Z
"I can’t get enough of Seven! No matter how many times I watch it, I’m still in awe of its beautiful melody and MV.",@JungkookScener,2025-03-21T01:53:31Z
Our 500M milestone poster is ready & waiting to be revealed... Less than 317K to go!,@ARMY_STREAM_TEAM,2025-03-20T21:03:36Z
His voice and rhythm is the only one.,@ako390,2025-03-20T12:59:32Z
LET'S BEAT 500M SOON ARMYS!!,@aaalizaa,2025-03-19T02:03:04Z
Here again 'cause I can't wait for a beautiful milestone poster...,@Still_Tannies070,2025-03-16T15:33:49Z
GOLDEN VOCALIST OF K-POP JUNGKOOK 🔥🔥🔥🔥🔥💜💜💜💜💜,@AbulKalam-j7u9z,2025-03-16T15:10:45Z
the best moment is the chorus 1:39,@MenWiś,2025-03-16T10:47:13Z
Get ready for another 'Seven' milestone poster reveal...,@ARMY_STREAM_TEAM,2025-03-16T07:18:22Z
Guyss plz stre@m dynamite and bst also it is soo close to its huge milestone,@meghnakb,2025-03-16T06:10:42Z
I hate bts but i still vibed on this song ❤,@Luv_katecafe,2025-03-15T12:18:08Z
Me vibing with the song but i understand the lyrics its bad,@GraceCandia-o9e,2025-03-13T13:04:43Z
JEON JUNGKOOK IS KING OF VOCAL.,@Jeonjungkookie-97-y2e,2025-03-13T07:28:30Z
His vocals are soothing ❤💜✨,@kunju-5423,2025-03-13T05:23:49Z
Seven is nearing to another milestone. Oh yes,@chaedzamugoni8429,2025-03-12T22:33:05Z
Let's go for more milestones,@chaedzamugoni8429,2025-03-11T19:01:52Z
Seven is really an amazing song to vibe to,@chaedzamugoni8429,2025-03-11T01:44:54Z
"Seven is part of Jung Kook's Golden, the first and foremost, released as a single. So the whole of Golden is the sum of its parts? With one precious voice as the through-line, giving Golden its own very special vibe.",@SusanMRS-be3dx,2025-03-09T18:10:16Z
"Spring is slowly coming, and with it the joyful rhythm of this song brings promises...",@maja9091,2025-03-09T11:43:09Z
song whose lyrics i have injected in veins,@sahilghuge5302,2025-03-07T14:33:49Z
i love this song and this is my first time watching this vid and did not expect that for the song lmaoo who pitched this and who approved! p.s it's never cute to have an ex try to wear you down like this IRL so I wish they chose a more fun concept. The funeral scene with Latto was v. funny tho!,@faiy8111,2025-03-05T23:30:02Z
Deeper than the ocean is~,@Abhi_Sunshine,2025-03-05T17:52:29Z
Why is this supposed to be the clean version but Latto swears in her verse?,@Comment4fun,2025-03-05T16:40:48Z
"Woah, this vibe... it's another level",@Pjm71099,2025-03-05T11:54:05Z
Still vibe in 2025,@MourineMariel,2025-03-04T20:46:21Z
our Jungkook's masterpiece Seven is close af to 500M yall this will be the 1st BTS solo song to achive that amazing milestone so let's do reach it before June! always with JK! and then we'll get seven to 1B next💜,@yeonjunsggum,2025-03-04T00:37:57Z
"Curious for the next milestone poster, cant wait to see five hundred million...",@Still_Tannies01,2025-03-03T17:40:27Z
I can't wait to see the five hundred million poster once we get this MV to the milestone,@chaedzamugoni8429,2025-03-03T15:41:01Z
Totally in love with JK’s vocals❤️‍🔥,@эльвираюсупова-ф3ч,2025-03-03T10:54:11Z
Spring beat 2000 - Furacão 2000...,@TheRealDigao,2025-02-28T00:33:18Z
El diavlo loco ya ni reggetonero,@NormaCalazacón,2025-02-28T00:06:56Z
"This song reminds me other from The Beatles ""Eigth days a week"", both gots the same concept to love all days. Fantastic",@jhonhernandezc283,2025-02-27T17:23:45Z
Show you what devotion is deeper than tye ocean is,@TakeTwo-z6g,2025-02-25T07:32:21Z
Annoying Shoe Palace music.,@heybrowhatup,2025-02-24T15:40:59Z
Uffff lyrics 🥵🙈😅,@Skthv_95,2025-02-23T21:20:07Z
When you finally understand the lyrics 💀💀,@Dragonpuppet_dreams1,2025-02-23T17:05:41Z
Justin bieber like vibe,@hari7709,2025-02-23T07:27:04Z
"Seven’ MV is a masterpiece! Jungkook’s vocals, visuals, and the whole production are just on another level. Can’t stop watching—this is pure art! 🔥",@4JKanBam,2025-02-22T07:10:42Z
such happy carefree vibes. ^^,@miraclewhip2384,2025-02-17T10:38:10Z
Muito fino o timbre rapazes,@Thebubassaur,2025-02-16T15:58:25Z
How are you Jungkook? I see your weverse Post. I miss you so much. And I love you Jungkook.,@Jeonjungkookie-97-y2e,2025-02-16T11:20:24Z
Jk's Weverse update have me in my feelings so the next best thing is to listen to his music😢😊miss u so much jungkookie😢,@TrudieJordan,2025-02-15T19:35:25Z
"My sweet sweet, sweet Angel, Jung Kook!!! My heart is squeezed with tenderness and love when I hear and see you!!! After your poignant and touching letter that you wrote on Weverse, my heart broke into many pieces from pain and joy at the same time!!! I'm crying with happiness that you wrote to us!!! We also miss you very, very much and are looking forward to counting the days and nights until your return home!!! Even in our dreams, we see you all together!!! But I know we have to be patient a little bit and all our dreams will come true!!! We will see and hear you all together again, and our Purple Universe will shine with all the colors of the rainbow!!!!My sweet, gentle and golden Jung Kook, please take care of yourself, don't worry your soul, be safe and never be sad!!! After all, the dark streak in life is always replaced by white, and after the most terrible storm, the brightest rainbow shines!!!Everything will be fine!!! May your military service fly by at the speed of light, and you will all return to us safely!!!With love!!!",@AsiyaAnastasiya,2025-02-15T12:34:46Z
"Мой милый милый, милый Ангел, Чонгук!!! Моё сердце сжимается от нежности и любви, когда я слышу и вижу тебя!!! После твоего пронзительного и трогательного письма, котое ты написал на Weverse моё сердце разбилось на множество осколков от боли и от радости одновременно!!! Я плачу от счастья, что ты нам написал!!! Мы тоже очень-очень сильно скучаем и с нетерпением считаем дни и ночи до вашего возвращения домой!!! Даже во сне мы видим вас всех вместе!!! Но я знаю, надо потерпеть совсем немного и все наши мечты сбудутся!!! Мы вновь увидим и услышим вас всех вместе и наша Фиолетовая Вселенная засияет всеми цветами радуги!!!!Мой милый, нежный и золотой Чонгук, береги пожалуйста себя, не береди себе душу, будь в безопасности и никогда не грусти!!! Ведь темная полоса в жизни всегда сменяется белой, а после самой грозной бури, сияет самая яркая радуга!!!Всё будет хорошо!!! Пусть ваша служба в армии пролетит со скоростью света, и вы к нам все вернётесь в целости и сохранности!!!С любовью!!!",@AsiyaAnastasiya,2025-02-15T11:44:22Z
Hino atemporal 🇧🇷💗,@THAYSCRISTINA-l6j,2025-02-14T23:43:24Z
I’m sorry but nothing is beating this and Latto is Chef’s kiss,@iamdokyeommysterymystery,2025-02-11T08:14:14Z
This gem is still catchy to this day,@chaedzamugoni8429,2025-02-11T03:41:48Z
Let's cross big milestone,@BoyWithLuv.1,2025-02-10T15:48:58Z
Seven is just too catchy!,@chaedzamugoni8429,2025-02-08T08:08:43Z
"I know this song was originally written for Justin Bieber, but does anyone hear JB in the background during the chorus?",@brokenham,2025-02-06T08:15:51Z
"Dear Jungkook, I really jealous of watching these shots in the MV, I really hope not to represent in the future, I really hurt every day of jealousy yet, and I cannot go beyond that,Please do not represent again in this way with girls,I am really not okay to see you represent with girls with this proximity and such scenes,I am very disturbed by clothes Latto the Disrespectful and indecent in the mv , I really like to explain what you want to tell me, dear Jungkook, without seeing Latto's clothes and hold you the girl's hand and approaching her, I really love you deeper than the ocean ,and This makes me jealous a lot when I see you approaching the girls,I really am jealous a lot, dear Jungkook, and I suffer every day , so please feel my heart and my big love ,my dear and my love Jungkook😭💔💔🤧",@ArmyForever-u7r,2025-02-04T17:25:23Z
DEEPER THAN THE OCEAN IS 🗣️,@bangtanboys7svn,2025-02-04T00:33:06Z
DEEPER THAN THE OCEAN ISSS😭😭😭🫦,@giuulims,2025-02-01T07:46:57Z
I’m still obsessed with this song. Jungkook has such a perfect energy and tone that makes this the most fun and engaging single. What a superstar 💜,@YayShadowPersona,2025-01-31T17:49:42Z
EVERY ORIGNAL HAD ITS CHEAP COPY BUT NOTHING CAN BEAT THE OG! SEVEN THE BEST EVER KPOP SOLOIST MV,@aashi001,2025-01-31T15:33:19Z
Minha música preferida de todos os tempossss😍🤣🤣🤣,@GiovannamoraesGuimaraesGuimara,2025-01-24T15:16:51Z
"""La gente nos llama los Beatles del siglo XXI es un honor increíble y me alegra oirlo pero aún asi quiero ser simplemente Bts en lugar de los Beatles del siglo XXI ,Bts como ningún otro ,quiero set algo nuevo y único ""....Jeon Jungkook",@antoniaquispe7012,2025-01-22T01:07:41Z
Seven is such a vibe ❤❤❤,@sadhanakale9934,2025-01-21T16:32:50Z
Deeper than the ocean is,@Wildflowerarmy_3,2025-01-19T10:15:41Z
He's vocals ❤💜,@Lil_Nia,2025-01-17T19:24:38Z
Any millennials here hear Craig David vibes?,@chateaux-capristovall2048,2025-01-15T15:27:44Z
Deeper than the ocean is,@Caier-7,2025-01-15T07:55:53Z
"It's 2025, I'm not a fan but I still vibe with this everyday...",@nenthecrazy,2025-01-14T06:25:59Z
"Naughty big muscled bunny..... Some can't show devotions  deeper than the ocean seven days a week, okay... We also need to recharge.. we don't have that stamina like yours haha!!!! 2025 🎉🎉🎉🎉 and still banging...",@NoOneButMe39,2025-01-13T03:13:32Z
"JK is one of the best vocalists in the world, a great dancer, an artist with a charismatic personality and simply a man with a big heart.",@maja9091,2025-01-11T08:42:34Z
Kind loving JK gave us New Year’s greetings on Weverse ~~ how sweet JK is!~~ we love JK ~ we miss JK~~ Let’s listen to SEVEN with heartwarming JK’s messages for us,@loveofmusic4854,2025-01-08T12:50:59Z
I love the way wheb he sings thursday friday saturdag on a high pitched voice same with ever hour and minut and second,@sanyasameer6746,2025-01-05T14:30:46Z
