comment,user_name,date
"I was at the supermarket with my little one when a song started playing on the radio. Without missing a beat, my 4-year-old son instantly said, “It’s Jungkook, Mommy!”—and even started humming along! His popularity truly knows no bounds! We love you, JK!",@itsmeeekateyyy,2025-03-21T08:04:18Z
"Me looking at the lyrics and realizing he was singing to his future partner when you listen carefully to part of ""i testify............they can't deny our love........ we'll stand the test of time""",@shashaiSherlock,2025-03-19T17:42:42Z
"The whole song is a gem - music, arrangement, singing, dancing, JK's presence (vocals are a masterpiece). I'm waiting for his return and new songs.",@maja9091,2025-03-17T09:39:08Z
"SNTY refers to the best traditions of pop. It is classic music, great vocals by JK, dance, emotions and the power of true love.",@maja9091,2025-03-15T09:54:35Z
"Eles simplesmente arrumam tantos dançarinos incríveis. E Lady está divonica como sempre, não importa quanto tempo passar.",@umusuarioqualquer4420,2025-03-12T23:26:10Z
"Jeon Jungkook please take care of your mental and emotional health. Hugs for you, always.",@Music.lover1539,2025-03-11T22:29:53Z
1:45 look at JK logo in the wall looks like slave to the rhythm live stage design,@Asmr-x9y,2025-03-11T19:55:10Z
That's why he is the best vocalist ❤❤❤,@JecenudaJatau,2025-03-10T19:20:07Z
Bro nostalgic 😢,@raphaelcolombini5347,2025-03-09T22:53:54Z
"March 9, 2025) We are so glad you and Jimin came to us Weverse! I love this song so much!",@crazygirl6078,2025-03-09T08:45:48Z
Can JHope say the lyrics of this song like it's a poem? I feel like it would be so cool.,@iguaran82,2025-03-09T03:44:24Z
"This performance of a very difficult song, both vocally, choreographically and in terms of overall stage charisma, confirms JK's greatness as an unparalleled artist. Some people have not accepted this yet.",@maja9091,2025-03-07T23:26:58Z
Anyone vibe this GREAT SONG March 2025! I ❤🎉😂 it!!,@alexaavery8574,2025-03-07T12:09:27Z
The king of vocal and performance,@ASa-k2u,2025-03-06T20:29:32Z
Fighting for Seven and SNTY audio for their milestone,@Still_Tannies05,2025-03-04T17:26:45Z
Totally in love with JK’s vocals,@эльвираюсупова-ф3ч,2025-03-03T10:53:51Z
We have more JK milestones coming very soon,@Yaay.,2025-03-02T04:03:08Z
Standing Next To You audio needs less than 6M for a milestone...,@Still_Tannies05,2025-03-01T18:57:30Z
SNTY the powerful song from Jungkook,@chaedzamugoni8429,2025-03-01T11:41:49Z
SNTY is such a great song and full of incredible lyrics,@chaedzamugoni8429,2025-02-28T06:21:55Z
"handsome mr,Jungkook ,congratulations for your promotion in military service.now you are more powerful than before so just get rest and force brother Jimin to work for you.later you can buy him alcohol.but Jungkook is protecting himself and Jimin so it is so hard.i am really curious how big is Jungkook Sixpack and how much hair he has.i hope he can become bald again.kiss for beautiful Jungkook.my friend Jungkook please always know your worth and value and be happy.have a nice day my amazing singer and my powerful boyfriend Jungkook.kiss for you.",@sarakia1251,2025-02-27T23:26:18Z
"Have you support maknae releases on streamng platform today? Are y'all spotifying? Focus on SNTY, SEVEN, 3D & Dreamers which closer to a milestone. Most of his overall daily streams are above 7M streams. Look on these days streams, we could improve. SNTY deservs more than 1M daily streams. Let's giving our best support like other stan did. Have a blessed day.",@missyy291,2025-02-23T10:45:50Z
"It's almost at the next milestone, keep playing",@chaedzamugoni8429,2025-02-23T09:07:06Z
"A truly worlwide pop star. He deserves all the success.  Oh, those moves and vocals. What a voice! He is so talented and charming",@SoldFuture,2025-02-22T16:37:25Z
He’s giving MJ vibes!,@PriyankaSharma-q5x9n,2025-02-21T06:43:25Z
"Essa música apareceu pra mim donada denovo depois de um tempo, e agora ela machuca.",@KalebeBegoRocha,2025-02-21T05:13:54Z
"The dance, song and choreography are so amazing that almost everyone in the industry is covering it. That's how powerful Jungkook is",@chaedzamugoni8429,2025-02-19T09:43:00Z
I love the mj's vibes.,@Mich-elle777,2025-02-17T09:09:54Z
Jungkok giving me different vibes ah.,@Extra-q5j,2025-02-15T16:30:14Z
"My sweet sweet, sweet Angel, Jung Kook!!! My heart is squeezed with tenderness and love when I hear and see you!!! After your poignant and touching letter that you wrote on Weverse, my heart broke into many pieces from pain and joy at the same time!!! I'm crying with happiness that you wrote to us!!! We also miss you very, very much and are looking forward to counting the days and nights until your return home!!! Even in our dreams, we see you all together!!! But I know we have to be patient a little bit and all our dreams will come true!!! We will see and hear you all together again, and our Purple Universe will shine with all the colors of the rainbow!!!!My sweet, gentle and golden Jung Kook, please take care of yourself, don't worry your soul, be safe and never be sad!!! After all, the dark streak in life is always replaced by white, and after the most terrible storm, the brightest rainbow shines!!!Everything will be fine!!! May your military service fly by at the speed of light, and you will all return to us safely!!!With love!!!",@AsiyaAnastasiya,2025-02-15T12:35:07Z
"Мой милый милый, милый Ангел, Чонгук!!! Моё сердце сжимается от нежности и любви, когда я слышу и вижу тебя!!! После твоего пронзительного и трогательного письма, котое ты написал на Weverse моё сердце разбилось на множество осколков от боли и от радости одновременно!!! Я плачу от счастья, что ты нам написал!!! Мы тоже очень-очень сильно скучаем и с нетерпением считаем дни и ночи до вашего возвращения домой!!! Даже во сне мы видим вас всех вместе!!! Но я знаю, надо потерпеть совсем немного и все наши мечты сбудутся!!! Мы вновь увидим и услышим вас всех вместе и наша Фиолетовая Вселенная засияет всеми цветами радуги!!!!Мой милый, нежный и золотой Чонгук, береги пожалуйста себя, не береди себе душу, будь в безопасности и никогда не грусти!!! Ведь темная полоса в жизни всегда сменяется белой, а после самой грозной бури, сияет самая яркая радуга!!!Всё будет хорошо!!! Пусть ваша служба в армии пролетит со скоростью света, и вы к нам все вернётесь в целости и сохранности!!!С любовью!!!",@AsiyaAnastasiya,2025-02-15T11:43:42Z
"I have a lot to celebrate today and this is my celebration song! Thank you, Jungkook for this upbeat beauty of a song! ✨",@rainoflights3195,2025-02-14T01:12:38Z
Get ready for another Official milestone within the next 24 hours... 'Dreamers' 400M is almost here!,@ARMY_STREAM_TEAM,2025-02-13T11:30:52Z
