comment,user_name,date
WOW the vocal is good now,@LUPA_EntOFFCIAL,2024-08-04T12:56:43Z
I love this vocals!!,@Staaaaaaaaymidzy,2024-07-19T06:25:40Z
They give me early twice vibes. Just pure fun and cuteness,@btsmochimi7924,2024-05-08T03:28:56Z
The beat of this song really drive me crazy.... 😅😅😅,@khian144,2024-05-05T03:40:46Z
이집이 generic new jeans로 유명한집이군요 😅,@kyulee829,2024-04-30T03:47:20Z
"The more i see wonhee, she reminds me of the actress park han byul 박한별. Minju reminds me of shinee minho 민호. Yunha reminds me of tara hyomin 효민. Moka is like the smiley version of the actress jung somin (imay need to revisit this 1). iRoha has similar faces of many but it's hard to pick just one. To me, her eyes and mostly vibe reminds me of lisa bonet when she played the charcter denise. The girls, ILLIT are incredibly talented. This song is so catchy 😀",@winterso8589,2024-04-29T03:17:01Z
Yunah and Minju should have been almost the same to me. You can’t lie their vocals are saving the group. (NO HATE),@Skzseungberry,2024-04-29T02:24:34Z
"Almost 10 mil on the performance, almost 50 mil MV, and most streamed song of this year on Spotify. Rookies of the year girls let’s go! Stream so no comeback this year can beat us!!!",@kingmarat89,2024-04-27T11:31:30Z
stable vocals 100%,@brendanli8861,2024-04-26T05:05:32Z
"I CANT GET OVER IROHAS NATURAL SINGING VOICE, SHE DOESNT NEED AUTOTUNE, AUTOTUNE NEEDS HER.",@NeverEndingFire13,2024-04-16T01:52:47Z
The girl singing in the chorus caught my attention. She's so cute. What's her name?,@StoryofLaissa,2024-04-04T03:34:04Z
It's all fake. The encore disaster is the proof they have horrible vocals live. Fans should open their eyes and stop supporting fake and edited music. Let's save KPOP again from dying.,@BokBokbok-sr3zo,2024-04-03T17:40:10Z
The song is very good and the melody is very good. It feels like Newjeans.Haha,@darren_j6092,2024-04-02T11:19:08Z
a new jeans copy and cant even sing in live and their song is catchy yet its repetitive. i cant deny they are pretty and talented hope they can have their own identity and they deserve to have that.,@haha.lolzzz,2024-03-31T13:55:04Z
Their vocals are MESMERIZING 😌😭,@justminjung,2024-03-31T06:53:26Z
They sound so lifeless ... Only the fourth girl sounds happy 😮,@leeminko_,2024-03-30T20:00:34Z
This song is really catchy.,@niki7159,2024-03-29T08:24:37Z
"YOU CANT TELL ME THAT THIS SOUNDS LIKE RED VELVETS RUSSIAN ROULETTE,ESPECIALLY THE CHORUS",@fish8079,2024-03-29T07:41:06Z
"I like the whole song but idk why the line ""Baby don't say no"" just kind of don't match the vibe and throws off the whole thing",@CasualDudeGaming,2024-03-29T07:10:04Z
"Getting all the positive vibes of fromis9 with a hint of purplebeck, and that synchronization doesn't look like rookies...",@StefanBacon,2024-03-29T04:13:31Z
catchy chorus and choreography,@kitkatgaming024,2024-03-29T03:36:59Z
Muka mereka kaya pengembala biri biri gitu vibesnya… romanian romanian,@ahmadnauli5978,2024-03-28T18:33:29Z
They look like Japanese harajuku but toned-down.,@kristelxxi,2024-03-28T15:45:39Z
Dont get me wrong but this song is kinda giving me a newjeans vibes... its kinda newjeans-coded release...,@allanajayadriatico-xd1cl,2024-03-28T11:09:51Z
The performance has a really cute vibe,@michaeleleazar533,2024-03-28T10:35:00Z
Sounds like supershy like the beat 😅,@kristinempinova,2024-03-28T09:38:12Z
They have the same vibes like new jeans..,@jihyeshin6542,2024-03-28T08:36:28Z
"they're all look like a doll and I love it, they are so catchy and addictive",@kimuelpotingan6885,2024-03-28T08:33:54Z
"why is HYBE sooo good at making a high-end groups?! the make-up, dress code, the song, the beauties are soo perfect, the STEPS on POINT. Hybe is so annoying in making high-end groups! hahahaha... like... wow. CAPTIVAITNG! very very captivating.",@ladylulu5254,2024-03-28T07:38:41Z
"Is anyone else seeing the callbacks to Hybes 4th gen girl groups in the choreography!??! I need to know thay I'm not going crazy. I'd point them all out bu there's so many sprinkled throughout the song. I'm specifically seeing multiple NewJeans and Le Sserafim ""signature"" moves throughout the last chorus.",@ReactiveRyn,2024-03-28T07:07:59Z
VOCAL MINJU>>>>,@valyninlovee,2024-03-28T07:06:08Z
I Like how they all gave such a bright and positive vibes! I hope ILLIT for the best in the further🥰❤️,@Blumicrophyll,2024-03-28T06:11:03Z
Minju and Moka tone is like honey. So beautiful and refreshing to hear.,@Deina7,2024-03-27T17:20:16Z
"Over filter voice, same vibe like new jeans just softer than new jeans, robotic vibe song but not super special... Don't know why.. Just goodluck for you all..",@baksomieayamggman,2024-03-27T13:25:31Z
"they are good, but too much autotune lol",@rinamarta78,2024-03-27T13:19:12Z
I’m getting New Jeans vibes with them.,@ロビル,2024-03-27T13:17:17Z
Why is there so much autotune? It's hurting my ears.,@himeika,2024-03-27T11:47:24Z
Ngllll their vocals are not a joke!!,@zoya20,2024-03-26T23:06:55Z
This is giving magical girl vibes 🌸✨,@Otakuu_25,2024-03-26T20:35:41Z
Dude Minju's vocal color is insane!!! I absolutely love it so much omg,@pandalover1238,2024-03-26T19:10:44Z
"I love all of them ❤❤, give me angel, 🎀 and girly vibe",@nganhiii474,2024-03-26T18:36:31Z
"I knew that the pre-chorus reminded me of the running man dance song phrase vocal tuning and, by the time I saw them dancing at the final chorus, it all went linked. Great song btw",@rafaeltglz,2024-03-26T18:17:48Z
"this song can put a group in a map, great choise of debut song, I really love the 90s vibes this song gives",@joaovazzz1149,2024-03-26T18:00:33Z
New jeans vibe,@puopanda6957,2024-03-26T17:58:31Z
They’re genuinely so cute and the song is so catchyyyy,@ECzerniecki,2024-03-26T16:35:31Z
The vocals 😭😭😭🫶🏼🫶🏼🫶🏼,@Hannjjaee,2024-03-26T16:16:10Z
i really like minju. She reminds of Rose so much . just her vibe. and slightly her vocal colour.,@lorenzokim8603,2024-03-26T14:47:08Z
This song so catchy. Love it ❤❤❤❤,@Zukki13,2024-03-26T14:17:18Z
minju and irohas vocal is amazing😭😭💗💗💗💗,@FatmahYaraMagumpara,2024-03-26T13:05:03Z
Minju's vocals so precious ILLIT IS MAJESTIC,@dalknb4268,2024-03-26T12:29:44Z
Minju makes this group vocally,@lorenzokim8603,2024-03-26T11:56:21Z
"This song is really catchy because like, the views.. it got more than one million views in one day. I hope they will ne more successful soon ❤❤❤",@Eiraaaaaaaaaa,2024-03-26T11:30:18Z
"Beautiful dance and good and unique vocals, ❤🎉",@FitriHandayani-hq4ip,2024-03-26T10:22:57Z
"they are so adorable, this dreamy magical vibe with trap beat is so good",@mewwitchh,2024-03-26T09:30:34Z
Minju's vocal tone is so good😭💝,@SoulRhythm688,2024-03-26T09:24:52Z
The vocal idk this gen of kpop are all about lip syncing and dancing and more sound effects rather than singing. Anyone can be an idol nowadays as long as they have the face.. I miss SNSD and 2ne1. Tbh Newjeans actually have better vocal than them.,@MsLacieable,2024-03-26T08:34:51Z
WHY ARE THEIR SONGS SO SPARKLY BUBBLY AND CATCHY 😭,@emmabingei,2024-03-26T07:29:44Z
minju is the one when it comes to vocal - her tone is so pleasant!,@inga.feuilleei,2024-03-26T06:35:49Z
"Their sound is like a mixture of LOONA and New Jeans. I like the dreamy, fantasy girl vibe tho. Hopefully they separate and distinguish their sound more. Wonhee improved a lot. I had my doubts about her but she’s put in the work to improve.",@Mistiny1791,2024-03-26T05:06:57Z
NEW JEANS VIBES😢,@trinachoi,2024-03-26T03:05:52Z
"I really hope this group sings live, without autotune. I went to see NewJeans and Lesserafim, total disappointment, the supporting voices are heard more than their real voices, get in the front row, take off that they are pretty and that you have some ballet flats, I'm sorry but I spent my money in vain and if it's annoying. Hybe boy groups, on the other hand, do sing live and those who have been to Bts concerts and more can attest to this. Hybe will one day form a singing girl group. I hope so. For now I will only support BTS. Until there actually is a group of girls on Hybe who are singers, not just pretty faces.",@nobudaiki,2024-03-26T02:58:08Z
omg moka's tone is so pretty and addicting!,@dubaduwariwari99,2024-03-26T01:45:37Z
Minju's vocal tone is so good😭💝,@musiclibrarytt2103,2024-03-26T01:38:02Z
The vibe and the concept is so dreamy ✨,@Bbokimi,2024-03-26T01:35:13Z
0:09 who is this!? Please I really love her tone of voice. I don’t know why she didn’t stand out to me watching the show or maybe I just forgot about her but I really like her technique in singnjng,@Armyblink4life554,2024-03-26T01:22:19Z
Omg this song’s literally subliminal vibeeeeeeTT,@Leilaniwebtoon,2024-03-26T00:50:44Z
"I've been into kpop since I was a preteen in the early 2000s but I haven't been this excited for a new gg. This group hits all the marks. I love the dreamy whimsical electropop sound, the mellow pop melody is nostalgic with what I've heard growing up, and the aesthetics has that Asian art house film coming of age/Fruits mag vibe ❤️❤️❤️❤️ Very excited for what's to come!",@sarahl9398,2024-03-26T00:07:40Z
"Iroha is insanely beautiful and wonhee caught my attention first when they announced the participants for RUNEXT she is such a cutie and her expressions improved a lot ! Moka is the embodiment of J-idols in that puffy dress>< I didn’t watch the whole runext show but they exceeded my expectations. That’s a perfect debut , the song is catchy as hell and the dance is completely my style",@Ivueuu,2024-03-26T00:07:26Z
Moka got that Hoshino Ai's vibes 🤩,@guekepo7722,2024-03-25T23:50:13Z
their vocals are seriously amazing wow ❤😭✨,@helloidiotsikebye,2024-03-25T22:54:15Z
Moka really just feels the music and vibe in every performance!! So professional,@devvv777,2024-03-25T22:51:19Z
"in love with their vocals, they sound so good together",@logical1117,2024-03-25T22:33:19Z
Minju vocal 🤩❤,@Rv-pi6fc,2024-03-25T20:55:18Z
"UGH Love the concept, styling, and vibe. They are able to play on the magical/etheral vibes that the only Hybe GG's don't have. Very reminiscent of TXT IMO.would love them to see them do a similar concept to Enhypen since they are their sister group. Regarding the NJ similarities, like another Redditter has said before, ILLIT focuses on the more hyperpop and anime like sound while NJ only used this sound like once or twice. IMO it this song has ""Get up"" vibes but that's it. I think it just sucks that HYBE released another 5 member group (even though it was 6, but easily could've done 7) and only had 6 considering the amount of talent we saw in RUNext. I cant wait to see more releases from and I hope they can stick with this sound - kinda like the aim high and scrum vibes :)",@KPOPTrashLyrics,2024-03-25T20:46:52Z
i'm not a fan but i loce minju vocal😍,@marksubakk,2024-03-25T20:46:22Z
Minjuuu's tone is such an eargasm,@cuz3411,2024-03-25T20:31:07Z
曲のコンセプトがめちゃくちゃillitにマッチしてる…。vocal dance visualも全員💯💯💯💯💯,@コンポタ-v4q,2024-03-25T20:30:30Z
I love Illits vocals!!🎧☁️🫧🤍I love their dreamy concept that is so healing🫶🏼🩰🎀🌸🪷 I feel so much better listening to Magnetic🫧☁️ and their performance feels like I’m sleeping on a cloud ☁️🫧🤍🎧🫶🏼🍭🍦🍧🎀🎀🎀🎀🎀🎀🎀🎀 I love their aesthetic so much and their talents are just perfect 🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸🌸 Their talent is so enchanting and I love it🫧🫶🏼🎧🍧☁️🤍🍦💗🍪🎵,@seungwoolee7428,2024-03-25T20:27:10Z
Minju is Stunning & son damn Gorgeous looking.. So her vocal & dancing is..!!!,@Myenhaluv,2024-03-25T20:19:58Z
"And those are what  15?!? trying to attract the attention of middle school teens to say how good they are😅, but in fact like all idols from this company, they need singing lessons asap, take it easy with autotune and lipsynch.😊",@SleepyHarmonica-jt5yr,2024-03-25T19:55:27Z
Catchy!,@junecho2165,2024-03-25T19:30:29Z
They should have debuted them with more members like 7 or 9 they would’ve be more powerful and better,@OP-bp3gi,2024-03-25T19:27:48Z
Não vejo nada além da vibe do newjeans. Não há nada de novo aqui.,@Kia_Entertainment,2024-03-25T19:26:03Z
"Now that wonhee found her confidence and train more, she's really give me center vibes, i keep replaying her center part, she really surprised me.",@furanaa4123,2024-03-25T17:49:04Z
this is really catchy!!,@artsncraps1126,2024-03-25T17:14:27Z
"Dari awal ngikutin ILLIT karena suka minju sm vocalnya, tapi karena lagunya enak enak aku jadi betah❤❤",@xxaneeta,2024-03-25T17:13:47Z
"is it just me or did they use Wonhee's staring technique back in RUNext, improved it, and made it their main vibe or concept cause that's the vibe I'm getting with both their songs",@zee6671,2024-03-25T17:10:07Z
Music is definitely plagiarism. I can't remember where they stole this melody from.,@kizukiru,2024-03-25T17:05:29Z
